ioc,total_points,player_count,average_rank,average_height,top_100_players,best_player_name,best_player_rank
ALG,0.0,1,1103.0,,0.0,Moncef Zehar,1103
ARG,0.0,44,537.0,181.6,5.0,Alberto Mancini,9
AUS,0.0,65,617.0,183.6,4.0,Wally Masur,42
AUT,0.0,25,619.0,181.7,3.0,Thomas Muster,21
BAH,0.0,2,308.0,187.5,0.0,Roger Smith,187
BEL,0.0,12,692.0,187.6,0.0,Bart Wuyts,206
BRA,0.0,54,677.0,183.3,1.0,Luiz Mattar,62
BUL,0.0,6,866.0,,0.0,Milko Petkov,611
CAN,0.0,20,701.0,184.2,2.0,Andrew Sznajder,56
CHI,0.0,18,662.0,174.0,0.0,Sergio Cortes,197
CHN,0.0,10,1010.0,175.0,0.0,Jia Ping Xia,626
CIV,0.0,2,712.0,178.0,0.0,Clement Ngoran,482
COL,0.0,12,825.0,177.5,0.0,Mauricio Hadad,337
CRO,0.0,7,406.0,183.0,3.0,Goran Prpic,28
CUB,0.0,2,220.0,182.5,0.0,Mario Tabares,144
CYP,0.0,4,1063.0,,0.0,Alkis Papamichael,943
CZE,0.0,24,462.0,184.8,4.0,Petr Korda,59
DEN,0.0,10,600.0,191.2,0.0,Michael Tauson,116
ECU,0.0,6,515.0,183.2,1.0,Andres Gomez,17
EGY,0.0,4,1103.0,,0.0,Mostafa Naiem,1103
ESP,0.0,58,586.0,179.5,6.0,Emilio Sanchez,19
FIN,0.0,10,655.0,182.8,0.0,Veli Paloheimo,109
FRA,0.0,50,531.0,182.4,4.0,Yannick Noah,16
GBR,0.0,38,708.0,184.5,1.0,Jeremy Bates,96
GEO,0.0,1,403.0,175.0,0.0,Vladimir Gabrichidze,403
GER,0.0,103,637.0,184.4,6.0,Boris Becker,2
GRE,0.0,5,1025.0,190.0,0.0,Tasos Bavelas,714
HAI,0.0,3,833.0,185.0,0.0,Bertrand Lacombe,763
HKG,0.0,4,921.0,,0.0,Lui Pang,813
HUN,0.0,8,806.0,185.2,0.0,Jozsef Krocsko,552
INA,0.0,15,798.0,173.0,0.0,Suharyadi Suharyadi,437
IND,0.0,8,594.0,181.2,1.0,Ramesh Krishnan,72
IRI,0.0,1,332.0,178.0,0.0,Mansour Bahrami,332
IRL,0.0,3,808.0,193.0,0.0,Owen Casey,477
ISR,0.0,12,575.0,182.1,1.0,Amos Mansdorf,39
ISV,0.0,1,1103.0,,0.0,Larry Angus,1103
ITA,0.0,69,633.0,180.6,3.0,Paolo Cane,33
JAM,0.0,3,777.0,180.0,0.0,Doug Burke,292
JPN,0.0,26,842.0,177.2,0.0,Shuzo Matsuoka,181
KEN,0.0,4,897.0,188.0,0.0,Paul Wekesa,278
KOR,0.0,21,771.0,177.8,0.0,Bong Soo Kim,129
LAT,0.0,1,447.0,173.0,0.0,Girts Dzelde,447
LUX,0.0,3,756.0,178.0,0.0,Alberto Paris,642
MAR,0.0,5,870.0,184.0,0.0,Arafat Chekrouni,668
MAS,0.0,1,779.0,193.0,0.0,Adam Malik,779
MEX,0.0,18,704.0,179.1,0.0,Leonardo Lavalle,132
MKD,0.0,1,722.0,,0.0,Zoran Sevcenko,722
MLI,0.0,1,1103.0,,0.0,Veerawah Selvam,1103
MON,0.0,1,828.0,,0.0,Gilles Ganancia,828
NED,0.0,27,494.0,186.5,4.0,Paul Haarhuis,57
NGR,0.0,7,890.0,183.0,0.0,Nduka Odizor,245
NOR,0.0,3,1087.0,186.5,0.0,Bent Ove Pedersen,1055
NZL,0.0,7,497.0,181.3,1.0,Kelly Evernden,38
PAR,0.0,1,943.0,178.0,0.0,Hugo Chapacu,943
PER,0.0,7,552.0,175.0,1.0,Jaime Yzaga,23
PHI,0.0,5,831.0,178.0,0.0,Felix Barrientos,429
POL,0.0,4,740.0,183.0,0.0,Wojtek Kowalski,481
POR,0.0,9,807.0,180.3,0.0,Nuno Marques,158
PUR,0.0,2,514.0,182.5,0.0,Miguel Nido,154
ROU,0.0,10,632.0,185.6,0.0,Florin Segarceanu,203
RSA,0.0,54,605.0,184.1,2.0,Christo Van Rensburg,27
RUS,0.0,7,428.0,184.8,3.0,Andrei Chesnokov,22
SEN,0.0,1,389.0,185.0,0.0,Yahiya Doumbia,389
SLO,0.0,3,1050.0,,0.0,Blaz Trupej,943
SRB,0.0,1,1103.0,,0.0,Srdan Muskatirovic,1103
SUI,0.0,16,728.0,184.0,2.0,Jakob Hlasek,30
SVK,0.0,4,321.0,179.3,1.0,Miloslav Mecir,18
SWE,0.0,76,536.0,186.3,10.0,Stefan Edberg,3
TOG,0.0,1,875.0,,0.0,Gerard Gbedey,875
UKR,0.0,2,514.0,183.0,0.0,Dimitri Poliakov,287
URU,0.0,4,519.0,175.3,1.0,Marcelo Filippini,43
USA,0.0,234,579.0,183.7,29.0,Ivan Lendl,1
VEN,0.0,5,575.0,184.7,0.0,Nicolas Pereira,121
YUG,0.0,4,747.0,198.0,1.0,Slobodan Zivojinovic,76
ZAM,0.0,1,1103.0,,0.0,John Mwalongo,1103
