ioc,total_points,player_count,average_rank,average_height,top_100_players,best_player_name,best_player_rank
MON,347.0,4,883.0,173.0,0.0,Jean Rene Lisnard,138
SLO,337.0,16,933.0,184.0,0.0,Iztok Bozic,389
POL,240.0,15,985.0,183.0,0.0,Bartlomiej Dabrowski,344
BAH,193.0,3,806.0,189.0,0.0,Mark Knowles,223
IRL,153.0,7,902.0,188.0,0.0,Peter Clarke,373
GEO,128.0,2,800.0,188.0,0.0,Irakli Labadze,302
PAK,128.0,2,668.0,183.0,0.0,Aisam Ul Haq Qureshi,309
EGY,109.0,6,920.0,,0.0,Amro Ghoneim,510
INA,100.0,12,1009.0,175.5,0.0,Dede Suhendar Dinata,608
KAZ,90.0,2,806.0,190.5,0.0,Yuri Schukin,382
CUB,71.0,3,839.0,,0.0,Lazaro Navarro Batles,471
ALG,57.0,1,481.0,,0.0,Slimane Saoudi,481
COL,53.0,2,638.0,185.0,0.0,Miguel Tobon,624
TUR,51.0,6,1038.0,,0.0,Erhan Oral,656
AND,48.0,2,909.0,,0.0,Joan Jimenez Guerra,520
CIV,48.0,2,662.0,190.0,0.0,Valentin Sanon,608
AZE,40.0,1,557.0,,0.0,Emin Agaev,557
MRI,38.0,2,765.0,,0.0,Kamil Patel,618
LIB,36.0,1,577.0,,0.0,Jicham Zaatini,577
CHN,35.0,7,1176.0,,0.0,Ben Qiang Zhu,643
TPE,29.0,4,1008.0,180.0,0.0,Wei Jen Cheng,815
HAI,26.0,1,642.0,,0.0,Bertrand Madsen,642
YUG,21.0,2,891.0,190.0,0.0,Jovan Savic,756
MKD,16.0,5,1195.0,190.0,0.0,Aleksandar Kitinov,880
LTU,12.0,2,1081.0,,0.0,Daniel Lencina Ribes,864
MDA,12.0,2,1056.0,,0.0,Evghenii Plugariov,881
GHA,12.0,2,996.0,,0.0,Courage Anyidoho,918
BIH,11.0,2,1064.0,,0.0,Bojan Vujic,897
LUX,11.0,1,843.0,188.0,0.0,Mike Scheidweiler,843
TUN,5.0,2,1216.0,,0.0,Walid Jallali,1133
BOT,3.0,1,1155.0,,0.0,Petrus Molefe,1155
SEN,2.0,1,1231.0,185.0,0.0,Yahiya Doumbia,1231
HKG,2.0,2,1298.0,,0.0,Melvin Tong,1298
BOL,1.0,1,1298.0,,0.0,Jose Antelo,1298
EST,1.0,1,1298.0,,0.0,Mait Kunnap,1298
PAN,1.0,1,1298.0,,0.0,Alberto Gonzalez,1298
TOG,1.0,1,1298.0,,0.0,Kossi Loglo,1298
