ioc,total_points,player_count,average_rank,average_height,top_100_players,best_player_name,best_player_rank
NGR,6,1,1208.0,183.0,0.0,Christopher Bulus,1208
ANT,5,1,1289.0,193.0,0.0,Herbert Jody Maginley,1289
GUD,5,1,1240.0,,0.0,Jean Christian Morandais,1240
PAK,3,2,1632.0,,0.0,Huzaifa Abdul Rehman,1591
CHL,2,1,1538.0,,0.0,Hans Christian Bustiman Gonzalez,1538
MLT,2,2,1821.0,,0.0,Matthew Asciak,1674
PHI,2,1,1512.0,,0.0,Alberto Lim,1512
GHA,1,1,1752.0,198.0,0.0,Abraham Asaba,1752
SMR,1,1,2018.0,,0.0,Marco De Rossi,2018
QAT,1,1,1992.0,,0.0,Mubarak Shannan Zayid,1992
